--  --  --------  -----------  ---
X   Y   Diabetes  Respiratory  BP
1   1   0         0            0
1   2   0         0            0
1   3   0         0            0
1   4   0         0            0
1   5   0         0            0
1   6   29        9            4
1   7   163       31           24
1   8   161       30           34
1   9   58        8            14
1   10  16        6            5
1   11  0         0            0
1   12  0         0            0
1   13  2         3            0
1   14  0         0            0
1   15  0         0            0
1   16  0         0            0
1   17  0         0            0
1   18  118       16           25
1   19  502       108          95
1   20  546       99           81
2   1   0         0            0
2   2   0         0            0
2   3   0         0            0
2   4   0         0            0
2   5   48        15           9
2   6   313       71           56
2   7   181       32           24
2   8   206       38           37
2   9   253       49           44
2   10  26        2            0
2   11  0         0            0
2   12  0         0            0
2   13  0         0            0
2   14  11        0            0
2   15  169       30           29
2   16  479       93           94
2   17  179       34           24
2   18  297       65           58
2   19  608       144          117
2   20  622       124          108
3   1   0         0            0
3   2   0         0            0
3   3   0         0            0
3   4   0         0            0
3   5   0         0            0
3   6   94        18           13
3   7   512       109          103
3   8   474       92           91
3   9   122       25           22
3   10  317       49           64
3   11  190       29           40
3   12  0         0            0
3   13  0         0            0
3   14  0         0            0
3   15  47        11           8
3   16  678       123          115
3   17  1500      299          286
3   18  631       120          106
3   19  293       55           56
3   20  233       38           44
4   1   0         0            1
4   2   0         0            0
4   3   0         0            0
4   4   0         0            0
4   5   0         0            0
4   6   0         0            0
4   7   230       44           30
4   8   458       96           105
4   9   293       48           52
4   10  151       36           21
4   11  132       19           33
4   12  45        8            6
4   13  13        1            0
4   14  0         0            0
4   15  0         0            0
4   16  184       30           35
4   17  1059      199          203
4   18  1652      346          313
4   19  844       183          160
4   20  292       65           56
5   1   8         0            0
5   2   0         0            0
5   3   0         0            0
5   4   0         0            0
5   5   0         0            0
5   6   0         0            0
5   7   0         0            0
5   8   203       41           41
5   9   683       142          151
5   10  772       170          152
5   11  989       200          206
5   12  275       54           49
5   13  66        15           14
5   14  220       35           50
5   15  16        4            4
5   16  18        8            4
5   17  307       66           67
5   18  619       122          103
5   19  1214      225          227
5   20  1159      240          203
6   1   0         0            0
6   2   14        3            9
6   3   0         0            0
6   4   0         0            0
6   5   0         0            0
6   6   0         0            0
6   7   23        1            2
6   8   66        15           18
6   9   692       156          119
6   10  966       199          211
6   11  1862      348          311
6   12  1838      369          319
6   13  874       171          153
6   14  336       62           64
6   15  963       204          188
6   16  490       86           72
6   17  140       27           26
6   18  468       80           99
6   19  863       171          157
6   20  714       135          130
7   1   9         2            2
7   2   0         0            0
7   3   23        7            3
7   4   57        9            7
7   5   56        12           8
7   6   63        15           19
7   7   492       130          121
7   8   172       24           30
7   9   298       52           60
7   10  972       223          196
7   11  994       200          208
7   12  2168      422          356
7   13  1969      438          362
7   14  1867      363          336
7   15  1993      428          367
7   16  1366      287          243
7   17  386       73           61
7   18  78        10           10
7   19  264       40           43
7   20  799       174          155
8   1   3         0            1
8   2   5         3            0
8   3   53        11           5
8   4   83        9            19
8   5   92        17           12
8   6   543       121          112
8   7   623       114          109
8   8   1487      301          256
8   9   358       86           54
8   10  374       72           67
8   11  949       189          146
8   12  2462      542          443
8   13  3378      647          648
8   14  1140      216          204
8   15  446       79           74
8   16  402       89           70
8   17  294       48           67
8   18  203       40           25
8   19  115       19           11
8   20  232       37           45
9   1   0         0            0
9   2   0         0            0
9   3   57        12           11
9   4   338       76           73
9   5   296       63           55
9   6   108       17           17
9   7   602       106          121
9   8   388       79           58
9   9   1737      339          350
9   10  1015      218          189
9   11  199       34           30
9   12  183       52           49
9   13  1253      271          219
9   14  1493      286          285
9   15  1258      240          228
9   16  1227      249          217
9   17  1056      191          195
9   18  272       53           42
9   19  288       61           60
9   20  93        21           19
10  1   0         0            0
10  2   0         0            0
10  3   79        14           24
10  4   239       57           31
10  5   1333      262          221
10  6   1487      312          236
10  7   420       86           65
10  8   202       40           43
10  9   240       62           37
10  10  329       56           53
10  11  757       158          152
